2023-02-06 18:02:718 INFO  Utils :112 - [TestNG] Running:
  C:\HomeWork\nopcommerceweek13\src\test\java\resources\runners\testng.xml

2023-02-06 18:02:102 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:146 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:793 INFO  HomePage :72 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (57390403ba99ac106d1b5ec086c689f4)] -> link text: Log in]
2023-02-06 18:02:893 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:925 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:808 INFO  HomePage :72 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (e9b0d778c2135d5029c3b334222dd89a)] -> link text: Log in]
2023-02-06 18:02:865 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:882 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:484 INFO  HomePage :72 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (0806d46f53d0d05d79f82ebd9b49ce94)] -> link text: Log in]
2023-02-06 18:02:327 INFO  HomePage :140 - getting text from : Proxy element for: DefaultElementLocator 'By.linkText: Log out'
2023-02-06 18:02:586 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:601 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:49 INFO  HomePage :72 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (218ef576aaa539fa3a97a80595a765b9)] -> link text: Log in]
2023-02-06 18:02:87 INFO  LoginPage :44 - getting text from : [[ChromeDriver: chrome on WINDOWS (218ef576aaa539fa3a97a80595a765b9)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2023-02-06 18:02:157 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:183 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:440 INFO  Utils :112 - [TestNG] Running:
  C:\HomeWork\nopcommerceweek13\src\test\java\resources\runners\testng.xml

2023-02-06 18:02:576 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:639 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:336 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (70d9abcd6ca36c22aaa7dd031785cddf)] -> link text: Log in]
2023-02-06 18:02:695 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:726 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:452 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (4e8dc846f48a3b78a30a02820e5ccefc)] -> link text: Log in]
2023-02-06 18:02:108 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:125 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:743 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (ed65b722e7fa4084f631d9d6c434b87f)] -> link text: Log in]
2023-02-06 18:02:828 INFO  HomePage :143 - getting text from : [[ChromeDriver: chrome on WINDOWS (ed65b722e7fa4084f631d9d6c434b87f)] -> xpath: //a[contains(text(),'Log out')]]
2023-02-06 18:02:724 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:735 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:899 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (7d07aa6711ce4da9ac142de442f0ae9b)] -> link text: Log in]
2023-02-06 18:02:946 INFO  LoginPage :44 - getting text from : [[ChromeDriver: chrome on WINDOWS (7d07aa6711ce4da9ac142de442f0ae9b)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2023-02-06 18:02:84 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:113 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:958 INFO  HomePage :80 - click on register link :[[ChromeDriver: chrome on WINDOWS (ca97aa5135aea5e08102035e8232115c)] -> link text: Register]
2023-02-06 18:02:148 INFO  HomePage :134 - Click on register button
2023-02-06 18:02:188 INFO  HomePage :138 - Getting error from [[ChromeDriver: chrome on WINDOWS (ca97aa5135aea5e08102035e8232115c)] -> xpath: //span[contains(text(),'First name is required.')]]
2023-02-06 18:02:284 INFO  HomePage :143 - Getting error from [[ChromeDriver: chrome on WINDOWS (ca97aa5135aea5e08102035e8232115c)] -> xpath: //span[contains(text(),'Last name is required.')]]
